"Geplande groep";"Geplande groep";"Geplande groep";"Geplande groep";"Geplande groep";"Geroosterde lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Weken (2026)";"Weken (2026)";"Weken (2026)";"Weken (2026)"
"Afdeling";"Pakketgroep";"Vak";"Lesgroep";"Sectie";"Totaal aantal geroosterde lessen";"Gegeven door geplande docent";"Gegeven door vervanger";"Gegeven zonder docent";"Totaal aantal gegeven lessen";"Percentage gegeven door vervanger";"Percentage gegeven zonder docent";"Uitval door te weinig leerlingen";"Uitval door te weinig docenten";"Uitval door gewijzigde planning";"Uitval zonder reden";"Totaal aantal uitgevallen lessen";"Percentage totaal aantal uitgevallen lessen";"35";"36";"37";"38"
"5h";"nee";"ak";"5h.ak2";"ak";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"5v";"nee";"ak";"5v.ak1";"ak";"9";"8";"0";"0";"8";"0%";"0%";"0";"0";"1";"0";"1";"11,1%";"";"2";"3";"3"
"5v";"nee";"ak";"5v.ak2";"ak";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"6v";"nee";"ak";"6v.ak1";"ak";"9";"8";"0";"0";"8";"0%";"0%";"0";"0";"1";"0";"1";"11,1%";"";"2";"3";"3"
"6v";"nee";"ak";"6v.ak2";"ak";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"4h";"ja";"beco";"";"beco";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"5h";"ja";"beco";"";"beco";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"5v";"ja";"beco";"";"beco";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"6v";"ja";"beco";"";"beco";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"4v";"ja";"beco";"";"beco";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"4h";"nee";"beco";"4h.beco1";"beco";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"4v";"nee";"beco";"4v.beco1";"beco";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"5h";"nee";"beco";"5h.beco1";"beco";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"5v";"nee";"beco";"5v.beco1";"beco";"9";"8";"0";"0";"8";"0%";"0%";"0";"0";"1";"0";"1";"11,1%";"";"2";"3";"3"
"6v";"nee";"beco";"6v.beco1";"beco";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"6v";"nee";"beco";"6v.beco2";"beco";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"4h";"nee";"bht";"4h.bht1";"te&hndv&med";"3";"2";"0";"0";"2";"0%";"0%";"0";"1";"0";"0";"1";"33,3%";"";"0";"1";"1"
"4v";"nee";"bht";"4v.bht1";"";"3";"3";"0";"0";"3";"0%";"0%";"0";"0";"0";"0";"0";"0%";"";"1";"1";"1"
"5h";"nee";"bht";"5h.bht1";"te&hndv&med";"6";"4";"0";"0";"4";"0%";"0%";"0";"1";"1";"0";"2";"33,3%";"";"0";"2";"2"
"5v";"nee";"bht";"5v.bht1";"te&hndv&med";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"6v";"nee";"bht";"6v.bht1";"te&hndv&med";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3vp";"ja";"bi";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"3v";"ja";"bi";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"1v";"ja";"bi";"";"";"3";"1";"0";"0";"1";"0%";"0%";"0";"0";"2";"0";"2";"66,7%";"";"0";"0";"1"
"1vh";"ja";"bi";"";"";"3";"1";"0";"0";"1";"0%";"0%";"0";"0";"2";"0";"2";"66,7%";"";"0";"0";"1"
"2h";"ja";"bi";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"1h";"ja";"bi";"";"";"3";"1";"0";"0";"1";"0%";"0%";"0";"0";"2";"0";"2";"66,7%";"";"0";"0";"1"
"2v";"ja";"bi";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"3h";"ja";"bi";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"1h";"nee";"bi";"1h.1ha";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1v";"nee";"bi";"1v.1vb";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1v";"nee";"bi";"1v.1vc";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1v";"nee";"bi";"1v.1vd";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1vh";"nee";"bi";"1vh.1ba";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1vh";"nee";"bi";"1vh.1bb";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"1vh";"nee";"bi";"1vh.1bc";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2h";"nee";"bi";"2h.2ha";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2h";"nee";"bi";"2h.2hb";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2h";"nee";"bi";"2h.2hc";"";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"2h";"nee";"bi";"2h.2hd";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"1";"1";"0";"2";"33,3%";"";"1";"1";"2"
"2v";"nee";"bi";"2v.2vb";"";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"2v";"nee";"bi";"2v.2vc";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2v";"nee";"bi";"2v.2vd";"";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"2v";"nee";"bi";"2v.2ve";"";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"3h";"nee";"bi";"3h.3ha";"";"3";"1";"0";"0";"1";"0%";"0%";"0";"1";"1";"0";"2";"66,7%";"";"0";"0";"1"
"3h";"nee";"bi";"3h.3hb";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"3h";"nee";"bi";"3h.3hc";"";"3";"3";"0";"0";"3";"0%";"0%";"0";"0";"0";"0";"0";"0%";"";"1";"1";"1"
"3v";"nee";"bi";"3v.3vc";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"3v";"nee";"bi";"3v.3vd";"";"3";"1";"0";"0";"1";"0%";"0%";"0";"1";"1";"0";"2";"66,7%";"";"0";"0";"1"
"3v";"nee";"bi";"3v.3ve";"";"3";"1";"0";"0";"1";"0%";"0%";"0";"1";"1";"0";"2";"66,7%";"";"0";"0";"1"
"3vp";"nee";"bi";"3vp.3va";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"3vp";"nee";"bi";"3vp.3vb";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"4h";"ja";"biol";"";"biol";"3";"1";"0";"0";"1";"0%";"0%";"0";"1";"1";"0";"2";"66,7%";"";"0";"0";"1"
"5v";"ja";"biol";"";"biol";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"6v";"ja";"biol";"";"biol";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"5h";"ja";"biol";"";"biol";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"4v";"ja";"biol";"";"biol";"3";"1";"0";"0";"1";"0%";"0%";"0";"1";"1";"0";"2";"66,7%";"";"0";"0";"1"
"4h";"nee";"biol";"4h.biol1";"biol";"9";"4";"0";"0";"4";"0%";"0%";"0";"3";"2";"0";"5";"55,6%";"";"1";"0";"3"
"4h";"nee";"biol";"4h.biol2";"biol";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"4v";"nee";"biol";"4v.biol1";"biol";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"4v";"nee";"biol";"4v.biol2";"biol";"6";"2";"0";"0";"2";"0%";"0%";"0";"2";"2";"0";"4";"66,7%";"";"0";"0";"2"
"5h";"nee";"biol";"5h.biol1";"biol";"12";"8";"0";"0";"8";"0%";"0%";"0";"1";"3";"0";"4";"33,3%";"";"1";"3";"4"
"5h";"nee";"biol";"5h.biol2";"biol";"12";"10";"0";"0";"10";"0%";"0%";"0";"0";"2";"0";"2";"16,7%";"";"2";"4";"4"
"5v";"nee";"biol";"5v.biol1";"biol";"9";"4";"0";"0";"4";"0%";"0%";"0";"3";"2";"0";"5";"55,6%";"";"1";"0";"3"
"5v";"nee";"biol";"5v.biol2";"biol";"9";"6";"0";"0";"6";"0%";"0%";"0";"1";"2";"0";"3";"33,3%";"";"1";"2";"3"
"5v";"nee";"biol";"5v.biol3";"biol";"9";"8";"0";"0";"8";"0%";"0%";"0";"0";"1";"0";"1";"11,1%";"";"2";"3";"3"
"6v";"nee";"biol";"6v.biol1";"biol";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
